Semestre ,TipoDeVinculacion,NivelDeFormacion,NumeroDeDocentes
2018-1,Cátedra,Doctorado,3
2018-1,Cátedra,Especialización,14
2018-1,Cátedra,Maestría,35
2018-1,Cátedra,Profesional,49
2018-1,Planta,Doctorado,15
2018-1,Planta,Especialización,1
2018-1,Planta,Maestría,12
2018-1,Planta,Profesional,3
2018-1,Transitorio,Doctorado,4
2018-1,Transitorio,Especialización,3
2018-1,Transitorio,Maestría,18
2018-1,Transitorio,Profesional,1
2018-2,Cátedra,Doctorado,3
2018-2,Cátedra,Especialización,12
2018-2,Cátedra,Maestría,29
2018-2,Cátedra,Profesional,49
2018-2,Planta,Doctorado,16
2018-2,Planta,Especialización,1
2018-2,Planta,Maestría,11
2018-2,Planta,Profesional,3
2018-2,Transitorio,Doctorado,4
2018-2,Transitorio,Especialización,3
2018-2,Transitorio,Maestría,18
2018-2,Transitorio,Profesional,1
2017-1,Cátedra,Doctorado,2
2017-1,Cátedra,Especialización,17
2017-1,Cátedra,Maestría,27
2017-1,Cátedra,Profesional,49
2017-1,Planta,Doctorado,14
2017-1,Planta,Especialización,1
2017-1,Planta,Maestría,13
2017-1,Planta,Profesional,3
2017-1,Transitorio,Doctorado,3
2017-1,Transitorio,Especialización,5
2017-1,Transitorio,Maestría,16
2017-1,Transitorio,Profesional,3
2017-2,Cátedra,Doctorado,1
2017-2,Cátedra,Especialización,15
2017-2,Cátedra,Maestría,29
2017-2,Cátedra,Profesional,50
2017-2,Planta,Doctorado,14
2017-2,Planta,Especialización,1
2017-2,Planta,Maestría,13
2017-2,Planta,Profesional,3
2017-2,Transitorio,Doctorado,3
2017-2,Transitorio,Especialización,5
2017-2,Transitorio,Maestría,15
2017-2,Transitorio,Profesional,3
2016-1,Cátedra,Doctorado,0
2016-1,Cátedra,Especialización,22
2016-1,Cátedra,Maestría,23
2016-1,Cátedra,Profesional,44
2016-1,Planta,Doctorado,13
2016-1,Planta,Especialización,1
2016-1,Planta,Maestría,15
2016-1,Planta,Profesional,3
2016-1,Transitorio,Doctorado,1
2016-1,Transitorio,Especialización,6
2016-1,Transitorio,Maestría,13
2016-1,Transitorio,Profesional,3
2016-2,Cátedra,Doctorado,1
2016-2,Cátedra,Especialización,18
2016-2,Cátedra,Maestría,22
2016-2,Cátedra,Profesional,41
2016-2,Planta,Doctorado,15
2016-2,Planta,Especialización,1
2016-2,Planta,Maestría,13
2016-2,Planta,Profesional,3
2016-2,Transitorio,Doctorado,2
2016-2,Transitorio,Especialización,6
2016-2,Transitorio,Maestría,13
2016-2,Transitorio,Profesional,4
2015-1,Cátedra,Especialización,20
2015-1,Cátedra,Maestría,25
2015-1,Cátedra,Profesional,38
2015-1,Planta,Doctorado,12
2015-1,Planta,Especialización,1
2015-1,Planta,Maestría,16
2015-1,Planta,Profesional,3
2015-1,Transitorio,Doctorado,1
2015-1,Transitorio,Especialización,6
2015-1,Transitorio,Maestría,12
2015-1,Transitorio,Profesional,4
2015-2,Cátedra,Especialización,21
2015-2,Cátedra,Maestría,24
2015-2,Cátedra,Profesional,43
2015-2,Planta,Doctorado,13
2015-2,Planta,Especialización,1
2015-2,Planta,Maestría,15
2015-2,Planta,Profesional,3
2015-2,Transitorio,Doctorado,1
2015-2,Transitorio,Especialización,5
2015-2,Transitorio,Maestría,12
2015-2,Transitorio,Profesional,4
2014-1,Cátedra,Especialización,21
2014-1,Cátedra,Maestría,18
2014-1,Cátedra,Profesional,52
