ESTADO,PERBASE,COD_PERIODO,COD_UTP,NIVEL,SUBNIVEL,FACULTAD,NOMBRE,DURACION_SEMESTRES,PERIODOS,CANTIDAD
3. Cambio de programa,23,2017-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,171 a 172,2
1. No matriculado,23,2017-1,FV34,Pregrado,Profesional,Ingeniería,Ingeniería Física (Básicos ingenieria),10,171 a 172,2
2. Permanece programa,25,2018-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,181 a 182,287
2. Permanece programa,30,2020-2,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,202 a 211,40
3. Cambio de programa,31,2021-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,211 a 212,2
1. No matriculado,24,2017-2,FV12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica (Básicos ingeniería),10,172 a 181,2
2. Permanece programa,25,2018-1,FV28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Básicos ingeniería),10,181 a 182,22
4. Graduado,26,2018-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,182 a 191,15
1. No matriculado,27,2019-1,FI,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Diurna),10,191 a 192,25
2. Permanece programa,28,2019-2,TS,Pregrado,Tecnológica,Ingeniería,Tecnología en Desarrollo de Software,6,192 a 201,17
2. Permanece programa,28,2019-2,FI,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Diurna),10,192 a 201,161
4. Graduado,29,2020-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,201 a 202,16
4. Graduado,29,2020-1,FI,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Diurna),10,201 a 202,1
1. No matriculado,26,2018-2,FV28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Básicos ingeniería),10,182 a 191,6
1. No matriculado,28,2019-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,192 a 201,57
2. Permanece programa,30,2020-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,202 a 211,668
4. Graduado,30,2020-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,202 a 211,14
1. No matriculado,31,2021-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,211 a 212,29
4. Graduado,1,2006-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,061 a 062,44
3. Cambio de programa,2,2006-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,062 a 071,7
4. Graduado,5,2008-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,081 a 082,57
1. No matriculado,6,2008-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,082 a 091,15
1. No matriculado,6,2008-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,082 a 091,55
1. No matriculado,7,2009-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,091 a 092,51
4. Graduado,7,2009-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,091 a 092,12
3. Cambio de programa,7,2009-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,091 a 092,18
2. Permanece programa,18,2014-2,AZ,Posgrado,Especialización,Ingeniería,Especialización en Redes de Datos,2,142 a 151,7
1. No matriculado,18,2014-2,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,142 a 151,7
3. Cambio de programa,18,2014-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,142 a 151,6
2. Permanece programa,19,2015-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,151 a 152,267
4. Graduado,23,2017-1,AZ,Posgrado,Especialización,Ingeniería,Especialización en Redes de Datos,2,171 a 172,4
1. No matriculado,23,2017-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,171 a 172,27
1. No matriculado,3,2007-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,071 a 072,78
3. Cambio de programa,3,2007-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,071 a 072,11
1. No matriculado,3,2007-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,071 a 072,36
4. Graduado,6,2008-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,082 a 091,61
2. Permanece programa,8,2009-2,AZ,Posgrado,Especialización,Ingeniería,Especialización en Redes de Datos,2,092 a 101,15
4. Graduado,9,2010-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,101 a 102,2
3. Cambio de programa,10,2010-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,102 a 111,4
1. No matriculado,12,2011-2,AZ,Posgrado,Especialización,Ingeniería,Especialización en Redes de Datos,2,112 a 121,6
4. Graduado,12,2011-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,112 a 121,9
2. Permanece programa,30,2020-2,AZ,Posgrado,Especialización,Ingeniería,Especialización en Redes de Datos,2,202 a 211,6
4. Graduado,30,2020-2,AT,Posgrado,Especialización,Ingeniería,Especialización en Electrónica Digital,2,202 a 211,1
4. Graduado,31,2021-1,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,211 a 212,10
3. Cambio de programa,3,2007-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,071 a 072,9
2. Permanece programa,6,2008-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,082 a 091,194
4. Graduado,26,2018-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,182 a 191,26
1. No matriculado,27,2019-1,AZ,Posgrado,Especialización,Ingeniería,Especialización en Redes de Datos,2,191 a 192,1
4. Graduado,28,2019-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,192 a 201,61
2. Permanece programa,29,2020-1,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,201 a 202,53
1. No matriculado,29,2020-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,201 a 202,3
4. Graduado,29,2020-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,201 a 202,22
2. Permanece programa,31,2021-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,211 a 212,696
2. Permanece programa,3,2007-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,071 a 072,572
2. Permanece programa,3,2007-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,071 a 072,189
1. No matriculado,5,2008-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,081 a 082,31
1. No matriculado,6,2008-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,082 a 091,19
2. Permanece programa,7,2009-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,091 a 092,194
2. Permanece programa,8,2009-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,092 a 101,211
3. Cambio de programa,10,2010-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,102 a 111,8
4. Graduado,16,2013-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,132 a 141,55
1. No matriculado,17,2014-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,141 a 142,79
3. Cambio de programa,17,2014-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,141 a 142,9
2. Permanece programa,19,2015-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,151 a 152,570
3. Cambio de programa,21,2016-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,161 a 162,11
4. Graduado,21,2016-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,161 a 162,10
3. Cambio de programa,27,2019-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,191 a 192,2
4. Graduado,29,2020-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,201 a 202,6
1. No matriculado,29,2020-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,201 a 202,23
2. Permanece programa,29,2020-1,28C,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Convenio Cuba),10,201 a 202,30
2. Permanece programa,31,2021-1,FI,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Diurna),10,211 a 212,258
4. Graduado,31,2021-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,211 a 212,3
3. Cambio de programa,31,2021-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,211 a 212,8
2. Permanece programa,1,2006-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,061 a 062,150
3. Cambio de programa,3,2007-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,071 a 072,10
4. Graduado,31,2021-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,211 a 212,11
2. Permanece programa,2,2006-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,062 a 071,154
1. No matriculado,6,2008-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,082 a 091,66
1. No matriculado,8,2009-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,092 a 101,73
3. Cambio de programa,12,2011-2,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,112 a 121,3
3. Cambio de programa,15,2013-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,131 a 132,10
1. No matriculado,16,2013-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,132 a 141,4
2. Permanece programa,22,2016-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,162 a 171,213
1. No matriculado,22,2016-2,FI,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Diurna),10,162 a 171,9
2. Permanece programa,24,2017-2,FI,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Diurna),10,172 a 181,60
4. Graduado,26,2018-2,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,182 a 191,3
2. Permanece programa,27,2019-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,191 a 192,297
1. No matriculado,27,2019-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,191 a 192,69
3. Cambio de programa,27,2019-1,TS,Pregrado,Tecnológica,Ingeniería,Tecnología en Desarrollo de Software,6,191 a 192,3
1. No matriculado,28,2019-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,192 a 201,47
3. Cambio de programa,4,2007-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,072 a 081,3
4. Graduado,5,2008-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,081 a 082,12
1. No matriculado,5,2008-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,081 a 082,74
3. Cambio de programa,7,2009-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,091 a 092,15
4. Graduado,11,2011-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,111 a 112,18
4. Graduado,11,2011-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,111 a 112,18
3. Cambio de programa,13,2012-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,121 a 122,10
1. No matriculado,10,2010-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,102 a 111,62
2. Permanece programa,11,2011-1,AZ,Posgrado,Especialización,Ingeniería,Especialización en Redes de Datos,2,111 a 112,18
2. Permanece programa,14,2012-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,122 a 131,572
3. Cambio de programa,14,2012-2,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,122 a 131,3
2. Permanece programa,15,2013-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,131 a 132,14
4. Graduado,15,2013-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,131 a 132,7
4. Graduado,20,2015-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,152 a 161,14
1. No matriculado,20,2015-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,152 a 161,25
3. Cambio de programa,20,2015-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,152 a 161,8
2. Permanece programa,21,2016-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,161 a 162,214
4. Graduado,21,2016-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,161 a 162,13
4. Graduado,23,2017-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,171 a 172,22
1. No matriculado,23,2017-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,171 a 172,58
2. Permanece programa,24,2017-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,172 a 181,298
2. Permanece programa,24,2017-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,172 a 181,44
1. No matriculado,25,2018-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,181 a 182,90
4. Graduado,25,2018-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,181 a 182,5
1. No matriculado,25,2018-1,28C,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Convenio Cuba),10,181 a 182,3
1. No matriculado,30,2020-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,202 a 211,106
4. Graduado,30,2020-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,202 a 211,17
1. No matriculado,30,2020-2,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,202 a 211,2
1. No matriculado,30,2020-2,28C,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Convenio Cuba),10,202 a 211,1
1. No matriculado,31,2021-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,211 a 212,20
4. Graduado,31,2021-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,211 a 212,18
2. Permanece programa,31,2021-1,AZ,Posgrado,Especialización,Ingeniería,Especialización en Redes de Datos,2,211 a 212,6
2. Permanece programa,2,2006-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,062 a 071,567
4. Graduado,4,2007-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,072 a 081,6
1. No matriculado,4,2007-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,072 a 081,62
2. Permanece programa,7,2009-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,091 a 092,35
4. Graduado,14,2012-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,122 a 131,26
1. No matriculado,15,2013-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,131 a 132,51
1. No matriculado,15,2013-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,131 a 132,76
1. No matriculado,15,2013-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,131 a 132,1
4. Graduado,17,2014-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,141 a 142,20
4. Graduado,18,2014-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,142 a 151,11
3. Cambio de programa,18,2014-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,142 a 151,10
4. Graduado,19,2015-1,AZ,Posgrado,Especialización,Ingeniería,Especialización en Redes de Datos,2,151 a 152,7
1. No matriculado,19,2015-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,151 a 152,55
1. No matriculado,17,2014-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,141 a 142,69
4. Graduado,19,2015-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,151 a 152,70
1. No matriculado,21,2016-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,161 a 162,46
1. No matriculado,21,2016-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,161 a 162,4
1. No matriculado,26,2018-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,182 a 191,64
2. Permanece programa,27,2019-1,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,191 a 192,54
4. Graduado,28,2019-2,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,192 a 201,4
1. No matriculado,7,2009-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,091 a 092,33
4. Graduado,9,2010-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,101 a 102,74
3. Cambio de programa,9,2010-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,101 a 102,9
1. No matriculado,10,2010-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,102 a 111,58
4. Graduado,11,2011-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,111 a 112,6
2. Permanece programa,12,2011-2,AZ,Posgrado,Especialización,Ingeniería,Especialización en Redes de Datos,2,112 a 121,18
4. Graduado,14,2012-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,122 a 131,13
3. Cambio de programa,21,2016-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,161 a 162,7
1. No matriculado,22,2016-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,162 a 171,73
3. Cambio de programa,22,2016-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,162 a 171,5
2. Permanece programa,25,2018-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,181 a 182,104
2. Permanece programa,25,2018-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,181 a 182,605
1. No matriculado,25,2018-1,FI,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Diurna),10,181 a 182,21
2. Permanece programa,25,2018-1,FV34,Pregrado,Profesional,Ingeniería,Ingeniería Física (Básicos ingenieria),10,181 a 182,13
2. Permanece programa,22,2016-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,162 a 171,180
2. Permanece programa,22,2016-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,162 a 171,32
2. Permanece programa,23,2017-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,171 a 172,39
4. Graduado,23,2017-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,171 a 172,9
2. Permanece programa,24,2017-2,FV12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica (Básicos ingeniería),10,172 a 181,18
3. Cambio de programa,25,2018-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,181 a 182,3
3. Cambio de programa,26,2018-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,182 a 191,3
2. Permanece programa,31,2021-1,28C,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Convenio Cuba),10,211 a 212,29
2. Permanece programa,14,2012-2,AZ,Posgrado,Especialización,Ingeniería,Especialización en Redes de Datos,2,122 a 131,2
4. Graduado,17,2014-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,141 a 142,38
4. Graduado,18,2014-2,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,142 a 151,4
1. No matriculado,19,2015-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,151 a 152,2
2. Permanece programa,20,2015-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,152 a 161,236
2. Permanece programa,20,2015-2,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,152 a 161,19
