ESTADO,PERBASE,COD_PERIODO,COD_UTP,NIVEL,SUBNIVEL,FACULTAD,NOMBRE,DURACION_SEMESTRES,PERIODOS,CANTIDAD
1. No matriculado,20,2015-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,152 a 161,56
3. Cambio de programa,21,2016-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,161 a 162,18
1. No matriculado,22,2016-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,162 a 171,27
1. No matriculado,23,2017-1,FV28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Básicos ingeniería),10,171 a 172,4
4. Graduado,24,2017-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,172 a 181,9
1. No matriculado,26,2018-2,FV34,Pregrado,Profesional,Ingeniería,Ingeniería Física (Básicos ingenieria),10,182 a 191,3
4. Graduado,28,2019-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,192 a 201,48
4. Graduado,28,2019-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,192 a 201,9
3. Cambio de programa,29,2020-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,201 a 202,7
3. Cambio de programa,29,2020-1,TS,Pregrado,Tecnológica,Ingeniería,Tecnología en Desarrollo de Software,6,201 a 202,2
3. Cambio de programa,30,2020-2,TS,Pregrado,Tecnológica,Ingeniería,Tecnología en Desarrollo de Software,6,202 a 211,1
2. Permanece programa,5,2008-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,081 a 082,235
2. Permanece programa,6,2008-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,082 a 091,514
4. Graduado,11,2011-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,111 a 112,50
1. No matriculado,11,2011-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,111 a 112,38
3. Cambio de programa,11,2011-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,111 a 112,11
4. Graduado,14,2012-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,122 a 131,7
2. Permanece programa,15,2013-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,131 a 132,204
1. No matriculado,16,2013-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,132 a 141,7
1. No matriculado,17,2014-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,141 a 142,67
2. Permanece programa,20,2015-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,152 a 161,848
1. No matriculado,6,2008-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,082 a 091,57
2. Permanece programa,7,2009-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,091 a 092,269
2. Permanece programa,9,2010-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,101 a 102,590
3. Cambio de programa,10,2010-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,102 a 111,7
2. Permanece programa,12,2011-2,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,112 a 121,6
2. Permanece programa,13,2012-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,121 a 122,27
4. Graduado,17,2014-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,141 a 142,45
4. Graduado,19,2015-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,151 a 152,30
2. Permanece programa,20,2015-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,152 a 161,25
4. Graduado,21,2016-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,161 a 162,28
4. Graduado,22,2016-2,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,162 a 171,1
1. No matriculado,20,2015-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,152 a 161,71
4. Graduado,22,2016-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,162 a 171,7
2. Permanece programa,23,2017-1,FV12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica (Básicos ingeniería),10,171 a 172,19
4. Graduado,24,2017-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,172 a 181,45
1. No matriculado,24,2017-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,172 a 181,43
3. Cambio de programa,24,2017-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,172 a 181,4
3. Cambio de programa,25,2018-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,181 a 182,2
2. Permanece programa,14,2012-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,122 a 131,212
4. Graduado,15,2013-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,131 a 132,62
2. Permanece programa,16,2013-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,132 a 141,236
4. Graduado,17,2014-1,AZ,Posgrado,Especialización,Ingeniería,Especialización en Redes de Datos,2,141 a 142,2
1. No matriculado,21,2016-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,161 a 162,64
3. Cambio de programa,23,2017-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,171 a 172,8
3. Cambio de programa,23,2017-1,FV12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica (Básicos ingeniería),10,171 a 172,2
2. Permanece programa,26,2018-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,182 a 191,814
4. Graduado,27,2019-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,191 a 192,6
3. Cambio de programa,28,2019-2,FI,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Diurna),10,192 a 201,3
2. Permanece programa,29,2020-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,201 a 202,655
1. No matriculado,26,2018-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,182 a 191,31
2. Permanece programa,27,2019-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,191 a 192,78
2. Permanece programa,28,2019-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,192 a 201,231
2. Permanece programa,29,2020-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,201 a 202,23
2. Permanece programa,29,2020-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,201 a 202,50
