CANTIDAD,COD_PERIODO,IDPER,COD_UTP,ESTADO,FACULTAD
47,2011-1,8,28,NO MATRICULADO,Ingeniería
13,2010-2,9,AY,NO MATRICULADO,Ingeniería
54,2009-2,11,37,NO MATRICULADO,Ingeniería
7,2006-1,14,36,MATRICULADO,Ingeniería
61,2008-2,11,37,NO MATRICULADO,Ingeniería
30,2006-1,11,12,MATRICULADO,Ingeniería
54,2011-1,21,28,NO MATRICULADO,Ingeniería
35,2009-1,23,12,GRADUADO,Ingeniería
40,2016-1,10,12,MATRICULADO,Ingeniería
5,2008-2,2,47,MATRICULADO,Ingeniería
7,2017-2,8,47,NO MATRICULADO,Ingeniería
7,2018-2,5,FI,MATRICULADO,Ingeniería
18,2017-2,4,37,MATRICULADO,Ingeniería
9,2017-1,5,47,NO MATRICULADO,Ingeniería
27,2012-1,14,28,GRADUADO,Ingeniería
5,2015-2,6,47,NO MATRICULADO,Ingeniería
32,2017-1,4,FI,NO MATRICULADO,Ingeniería
36,2014-1,9,12,NO MATRICULADO,Ingeniería
47,2013-1,11,37,NO MATRICULADO,Ingeniería
8,2007-2,17,28,MATRICULADO,Ingeniería
49,2011-1,9,12,MATRICULADO,Ingeniería
13,2011-1,7,36,MATRICULADO,Ingeniería
60,2009-1,13,34,NO MATRICULADO,Ingeniería
24,2006-1,19,34,GRADUADO,Ingeniería
16,2017-1,0,FV28,MATRICULADO,Ingeniería
5,2011-2,4,DV,MATRICULADO,Ingeniería
4,2006-1,15,36,MATRICULADO,Ingeniería
44,2008-1,8,28,NO MATRICULADO,Ingeniería
39,2008-1,7,28,NO MATRICULADO,Ingeniería
44,2007-2,8,12,MATRICULADO,Ingeniería
41,2006-1,11,12,NO MATRICULADO,Ingeniería
44,2006-1,31,12,NO MATRICULADO,Ingeniería
12,2020-1,2,28,NO MATRICULADO,Ingeniería
17,2016-2,7,FI,NO MATRICULADO,Ingeniería
19,2017-1,1,FI,NO MATRICULADO,Ingeniería
21,2017-2,1,FI,MATRICULADO,Ingeniería
52,2012-2,10,28,NO MATRICULADO,Ingeniería
4,2016-2,3,DV,MATRICULADO,Ingeniería
38,2008-2,13,12,NO MATRICULADO,Ingeniería
5,2012-2,2,47,NO MATRICULADO,Ingeniería
34,2014-1,3,34,NO MATRICULADO,Ingeniería
6,2013-1,6,47,NO MATRICULADO,Ingeniería
42,2012-1,4,28,MATRICULADO,Ingeniería
