CANTIDAD,ESTADO,PERBASE,COD_PERIODO,COD_UTP,NIVEL,SUBNIVEL,FACULTAD,NOMBRE,DURACION_SEMESTRES,PERIODOS
286,2. Permanece programa,23,2017-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,171 a 181
35,4. Graduado,23,2017-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,171 a 181
4,1. No matriculado,23,2017-1,FV28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Básicos ingeniería),10,171 a 181
59,1. No matriculado,25,2018-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,181 a 191
34,2. Permanece programa,8,2009-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,092 a 102
57,1. No matriculado,9,2010-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,101 a 111
646,2. Permanece programa,11,2011-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,111 a 121
28,1. No matriculado,11,2011-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,111 a 121
33,1. No matriculado,13,2012-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,121 a 131
33,4. Graduado,3,2007-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,071 a 081
7,4. Graduado,3,2007-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,071 a 081
16,3. Cambio de programa,3,2007-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,071 a 081
186,2. Permanece programa,5,2008-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,081 a 091
32,1. No matriculado,5,2008-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,081 a 091
15,2. Permanece programa,8,2009-2,AZ,Posgrado,Especialización,Ingeniería,Especialización en Redes de Datos,2,092 a 102
67,4. Graduado,9,2010-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,101 a 111
31,4. Graduado,9,2010-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,101 a 111
10,3. Cambio de programa,9,2010-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,101 a 111
527,2. Permanece programa,11,2011-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,111 a 121
30,2. Permanece programa,16,2013-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,132 a 142
2,4. Graduado,17,2014-1,AZ,Posgrado,Especialización,Ingeniería,Especialización en Redes de Datos,2,141 a 151
116,4. Graduado,23,2017-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,171 a 181
8,4. Graduado,24,2017-2,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,172 a 182
39,2. Permanece programa,24,2017-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,172 a 182
43,2. Permanece programa,25,2018-1,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,181 a 191
1,1. No matriculado,25,2018-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,181 a 191
27,4. Graduado,26,2018-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,182 a 192
5,1. No matriculado,26,2018-2,FV12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica (Básicos ingeniería),10,182 a 192
1,3. Cambio de programa,26,2018-2,FV12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica (Básicos ingeniería),10,182 a 192
3,3. Cambio de programa,27,2019-1,TS,Pregrado,Tecnológica,Ingeniería,Tecnología en Desarrollo de Software,6,191 a 201
23,2. Permanece programa,30,2020-2,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,202 a 212
18,4. Graduado,30,2020-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,202 a 212
523,2. Permanece programa,2,2006-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,062 a 072
101,4. Graduado,4,2007-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,072 a 082
148,2. Permanece programa,4,2007-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,072 a 082
16,3. Cambio de programa,5,2008-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,081 a 091
124,4. Graduado,6,2008-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,082 a 092
4,3. Cambio de programa,10,2010-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,102 a 112
6,2. Permanece programa,10,2010-2,AT,Posgrado,Especialización,Ingeniería,Especialización en Electrónica Digital,2,102 a 112
3,2. Permanece programa,13,2012-1,AZ,Posgrado,Especialización,Ingeniería,Especialización en Redes de Datos,2,121 a 131
35,1. No matriculado,13,2012-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,121 a 131
24,4. Graduado,13,2012-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,121 a 131
32,1. No matriculado,14,2012-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,122 a 132
7,3. Cambio de programa,14,2012-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,122 a 132
8,3. Cambio de programa,19,2015-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,151 a 161
15,3. Cambio de programa,21,2016-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,161 a 171
15,3. Cambio de programa,23,2017-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,171 a 181
8,3. Cambio de programa,23,2017-1,FI,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Diurna),10,171 a 181
2,3. Cambio de programa,23,2017-1,28C,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Convenio Cuba),10,171 a 181
3,3. Cambio de programa,24,2017-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,172 a 182
31,4. Graduado,25,2018-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,181 a 191
724,2. Permanece programa,26,2018-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,182 a 192
49,1. No matriculado,27,2019-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,191 a 201
290,2. Permanece programa,29,2020-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,201 a 211
9,1. No matriculado,29,2020-1,FI,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Diurna),10,201 a 211
1,1. No matriculado,29,2020-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,201 a 211
24,4. Graduado,30,2020-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,202 a 212
18,1. No matriculado,1,2006-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,061 a 071
55,4. Graduado,1,2006-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,061 a 071
33,1. No matriculado,2,2006-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,062 a 072
595,2. Permanece programa,3,2007-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,071 a 081
27,1. No matriculado,6,2008-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,082 a 092
542,2. Permanece programa,9,2010-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,101 a 111
601,2. Permanece programa,9,2010-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,101 a 111
36,1. No matriculado,10,2010-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,102 a 112
6,2. Permanece programa,12,2011-2,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,112 a 122
15,3. Cambio de programa,12,2011-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,112 a 122
14,1. No matriculado,12,2011-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,112 a 122
715,2. Permanece programa,13,2012-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,121 a 131
2,3. Cambio de programa,13,2012-1,AZ,Posgrado,Especialización,Ingeniería,Especialización en Redes de Datos,2,121 a 131
10,1. No matriculado,14,2012-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,122 a 132
53,1. No matriculado,15,2013-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,131 a 141
1,1. No matriculado,15,2013-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,131 a 141
46,2. Permanece programa,18,2014-2,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,142 a 152
6,1. No matriculado,20,2015-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,152 a 162
268,2. Permanece programa,21,2016-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,161 a 171
12,4. Graduado,21,2016-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,161 a 171
1,4. Graduado,21,2016-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,161 a 171
3,4. Graduado,21,2016-1,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,161 a 171
609,2. Permanece programa,23,2017-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,171 a 181
11,4. Graduado,23,2017-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,171 a 181
41,2. Permanece programa,23,2017-1,28C,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Convenio Cuba),10,171 a 181
118,2. Permanece programa,24,2017-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,172 a 182
34,4. Graduado,24,2017-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,172 a 182
606,2. Permanece programa,25,2018-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,181 a 191
15,4. Graduado,27,2019-1,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,191 a 201
8,4. Graduado,27,2019-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,191 a 201
20,2. Permanece programa,27,2019-1,TS,Pregrado,Tecnológica,Ingeniería,Tecnología en Desarrollo de Software,6,191 a 201
7,3. Cambio de programa,28,2019-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,192 a 202
3,1. No matriculado,28,2019-2,28C,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Convenio Cuba),10,192 a 202
1,4. Graduado,30,2020-2,AT,Posgrado,Especialización,Ingeniería,Especialización en Electrónica Digital,2,202 a 212
14,3. Cambio de programa,1,2006-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,061 a 071
39,1. No matriculado,1,2006-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,061 a 071
570,2. Permanece programa,6,2008-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,082 a 092
1,4. Graduado,6,2008-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,082 a 092
2,4. Graduado,6,2008-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,082 a 092
14,1. No matriculado,6,2008-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,082 a 092
207,2. Permanece programa,7,2009-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,091 a 101
37,2. Permanece programa,7,2009-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,091 a 101
42,1. No matriculado,3,2007-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,071 a 081
52,1. No matriculado,4,2007-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,072 a 082
195,2. Permanece programa,7,2009-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,091 a 101
46,1. No matriculado,8,2009-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,092 a 102
39,1. No matriculado,1,2006-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,061 a 071
11,1. No matriculado,2,2006-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,062 a 072
11,3. Cambio de programa,6,2008-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,082 a 092
534,2. Permanece programa,7,2009-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,091 a 101
62,1. No matriculado,7,2009-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,091 a 101
24,3. Cambio de programa,9,2010-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,101 a 111
176,2. Permanece programa,10,2010-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,102 a 112
47,1. No matriculado,10,2010-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,102 a 112
76,4. Graduado,11,2011-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,111 a 121
38,2. Permanece programa,12,2011-2,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,112 a 122
229,2. Permanece programa,13,2012-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,121 a 131
19,4. Graduado,14,2012-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,122 a 132
36,2. Permanece programa,15,2013-1,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,131 a 141
1,3. Cambio de programa,16,2013-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,132 a 142
17,4. Graduado,17,2014-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,141 a 151
17,1. No matriculado,18,2014-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,142 a 152
42,1. No matriculado,18,2014-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,142 a 152
24,2. Permanece programa,18,2014-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,142 a 152
36,1. No matriculado,19,2015-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,151 a 161
17,3. Cambio de programa,19,2015-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,151 a 161
37,4. Graduado,21,2016-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,161 a 171
263,2. Permanece programa,22,2016-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,162 a 172
37,1. No matriculado,23,2017-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,171 a 181
107,4. Graduado,24,2017-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,172 a 182
9,1. No matriculado,24,2017-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,172 a 182
6,1. No matriculado,25,2018-1,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,181 a 191
660,2. Permanece programa,29,2020-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,201 a 211
4,2. Permanece programa,29,2020-1,AT,Posgrado,Especialización,Ingeniería,Especialización en Electrónica Digital,2,201 a 211
3,3. Cambio de programa,29,2020-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,201 a 211
48,4. Graduado,30,2020-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,202 a 212
20,1. No matriculado,30,2020-2,FI,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Diurna),10,202 a 212
544,2. Permanece programa,1,2006-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,061 a 071
25,1. No matriculado,1,2006-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,061 a 071
60,4. Graduado,2,2006-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,062 a 072
505,2. Permanece programa,4,2007-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,072 a 082
49,1. No matriculado,5,2008-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,081 a 091
2,4. Graduado,8,2009-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,092 a 102
214,2. Permanece programa,11,2011-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,111 a 121
2,1. No matriculado,12,2011-2,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,112 a 122
20,3. Cambio de programa,13,2012-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,121 a 131
7,2. Permanece programa,13,2012-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,121 a 131
24,2. Permanece programa,13,2012-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,121 a 131
12,3. Cambio de programa,13,2012-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,121 a 131
1,1. No matriculado,15,2013-1,AT,Posgrado,Especialización,Ingeniería,Especialización en Electrónica Digital,2,131 a 141
210,2. Permanece programa,18,2014-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,142 a 152
59,2. Permanece programa,19,2015-1,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,151 a 161
37,1. No matriculado,20,2015-2,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,152 a 162
8,3. Cambio de programa,20,2015-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,152 a 162
15,3. Cambio de programa,21,2016-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,161 a 171
7,3. Cambio de programa,21,2016-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,161 a 171
7,3. Cambio de programa,22,2016-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,162 a 172
12,3. Cambio de programa,23,2017-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,171 a 181
27,2. Permanece programa,23,2017-1,FV28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Básicos ingeniería),10,171 a 181
279,2. Permanece programa,24,2017-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,172 a 182
24,2. Permanece programa,24,2017-2,FV28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Básicos ingeniería),10,172 a 182
1,1. No matriculado,24,2017-2,FV34,Pregrado,Profesional,Ingeniería,Ingeniería Física (Básicos ingenieria),10,172 a 182
12,3. Cambio de programa,27,2019-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,191 a 201
30,1. No matriculado,28,2019-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,192 a 202
7,4. Graduado,29,2020-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,201 a 211
8,3. Cambio de programa,29,2020-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,201 a 211
1,3. Cambio de programa,30,2020-2,AT,Posgrado,Especialización,Ingeniería,Especialización en Electrónica Digital,2,202 a 212
10,3. Cambio de programa,3,2007-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,071 a 081
19,4. Graduado,5,2008-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,081 a 091
125,4. Graduado,8,2009-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,092 a 102
28,4. Graduado,10,2010-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,102 a 112
20,4. Graduado,11,2011-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,111 a 121
210,2. Permanece programa,13,2012-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,121 a 131
41,1. No matriculado,13,2012-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,121 a 131
20,3. Cambio de programa,17,2014-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,141 a 151
2,3. Cambio de programa,18,2014-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,142 a 152
24,4. Graduado,20,2015-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,152 a 162
173,2. Permanece programa,22,2016-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,162 a 172
50,1. No matriculado,22,2016-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,162 a 172
18,4. Graduado,25,2018-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,181 a 191
40,1. No matriculado,25,2018-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,181 a 191
13,3. Cambio de programa,27,2019-1,FI,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Diurna),10,191 a 201
17,3. Cambio de programa,1,2006-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,061 a 071
15,3. Cambio de programa,2,2006-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,062 a 072
188,2. Permanece programa,3,2007-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,071 a 081
6,3. Cambio de programa,22,2016-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,162 a 172
11,4. Graduado,22,2016-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,162 a 172
14,4. Graduado,23,2017-1,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,171 a 181
19,2. Permanece programa,23,2017-1,FV12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica (Básicos ingeniería),10,171 a 181
8,1. No matriculado,25,2018-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,181 a 191
27,2. Permanece programa,26,2018-2,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,182 a 192
35,2. Permanece programa,26,2018-2,28C,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Convenio Cuba),10,182 a 192
287,2. Permanece programa,27,2019-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,191 a 201
28,2. Permanece programa,27,2019-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,191 a 201
3,3. Cambio de programa,27,2019-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,191 a 201
1,3. Cambio de programa,28,2019-2,TS,Pregrado,Tecnológica,Ingeniería,Tecnología en Desarrollo de Software,6,192 a 202
1,1. No matriculado,29,2020-1,AZ,Posgrado,Especialización,Ingeniería,Especialización en Redes de Datos,2,201 a 211
40,2. Permanece programa,30,2020-2,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,202 a 212
23,1. No matriculado,30,2020-2,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,202 a 212
1,1. No matriculado,30,2020-2,28C,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Convenio Cuba),10,202 a 212
52,4. Graduado,2,2006-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,062 a 072
22,4. Graduado,4,2007-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,072 a 082
49,4. Graduado,7,2009-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,091 a 101
9,3. Cambio de programa,9,2010-1,AZ,Posgrado,Especialización,Ingeniería,Especialización en Redes de Datos,2,101 a 111
11,4. Graduado,13,2012-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,121 a 131
16,3. Cambio de programa,14,2012-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,122 a 132
539,2. Permanece programa,15,2013-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,131 a 141
21,4. Graduado,15,2013-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,131 a 141
7,2. Permanece programa,16,2013-2,AZ,Posgrado,Especialización,Ingeniería,Especialización en Redes de Datos,2,132 a 142
23,4. Graduado,17,2014-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,141 a 151
837,2. Permanece programa,18,2014-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,142 a 152
22,4. Graduado,18,2014-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,142 a 152
5,4. Graduado,20,2015-2,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,152 a 162
12,3. Cambio de programa,20,2015-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,152 a 162
83,4. Graduado,21,2016-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,161 a 171
1,3. Cambio de programa,22,2016-2,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,162 a 172
15,1. No matriculado,23,2017-1,FI,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Diurna),10,171 a 181
19,4. Graduado,26,2018-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,182 a 192
6,1. No matriculado,26,2018-2,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,182 a 192
4,3. Cambio de programa,26,2018-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,182 a 192
22,4. Graduado,29,2020-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,201 a 211
1,4. Graduado,29,2020-1,FI,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Diurna),10,201 a 211
218,2. Permanece programa,30,2020-2,FI,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Diurna),10,202 a 212
39,1. No matriculado,30,2020-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,202 a 212
8,3. Cambio de programa,30,2020-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,202 a 212
