Programa,Femenino,Masculino,Año
Ingeniería Electrónica (Nocturno),45,247,2014-1
Ingeniería Eléctrica,186,827,2014-1
Ingeniería Física,131,202,2014-1
Ingeniería de Sistemas y Computación,107,630,2014-1
Ingeniería de Sistemas y Computación (Nocturno),71,219,2014-1
Ingeniería Electrónica (Nocturno),33,204,2014-2
Ingeniería Eléctrica,173,806,2014-2
Ingeniería Física,113,167,2014-2
Ingeniería de Sistemas y Computación,101,611,2014-2
Ingeniería de Sistemas y Computación (Nocturno),63,193,2014-2
Ingeniería Electrónica (Nocturno),47,255,2015-1
Ingeniería Eléctrica,186,805,2015-1
Ingeniería Física,115,208,2015-1
Ingeniería de Sistemas y Computación,103,612,2015-1
Ingeniería de Sistemas y Computación (Nocturno),66,238,2015-1
Ingeniería Electrónica (Nocturno),37,246,2015-2
Ingeniería Eléctrica,180,817,2015-2
Ingeniería Física,109,191,2015-2
Ingeniería de Sistemas y Computación,96,614,2015-2
Ingeniería de Sistemas y Computación (Nocturno),62,231,2015-2
Ingeniería Electrónica (Nocturno),36,255,2016-1
Ingeniería Eléctrica,191,816,2016-1
Ingeniería Física,138,213,2016-1
Ingeniería de Sistemas y Computación,91,656,2016-1
Ingeniería de Sistemas y Computación (Nocturno),52,246,2016-1
Ingeniería Electrónica (Diurna),7,16,2016-2
Ingeniería Electrónica (Nocturno),27,199,2016-2
Ingeniería Eléctrica,185,794,2016-2
Ingeniería Física,140,212,2016-2
Ingeniería de Sistemas y Computación,91,649,2016-2
Ingeniería de Sistemas y Computación (Nocturno),49,250,2016-2
Ingeniería Electrónica (Diurna),15,53,2017-1
Ingeniería Electrónica (Nocturno),22,175,2017-1
Ingeniería Eléctrica,192,802,2017-1
Ingeniería Eléctrica (Básicos ingeniería),5,17,2017-1
Ingeniería Física,144,228,2017-1
Ingeniería Física (Básicos ingenieria),8,9,2017-1
Ingeniería de Sistemas y Computación,91,665,2017-1
Ingeniería de Sistemas y Computación (Básicos ingeniería),15,16,2017-1
Ingeniería de Sistemas y Computación (Convenio Cuba),14,32,2017-1
Ingeniería de Sistemas y Computación (Nocturno),53,237,2017-1
Ingeniería Electrónica (Diurna),16,61,2017-2
Ingeniería Electrónica (Nocturno),16,148,2017-2
Ingeniería Eléctrica,188,830,2017-2
Ingeniería Eléctrica (Básicos ingeniería),4,16,2017-2
Ingeniería Física,140,210,2017-2
Ingeniería Física (Básicos ingenieria),7,8,2017-2
