COD_PERIODO,COD_UTP,ESTUDIANTES,ESTRATO,SEXO,TIPO_INSCRIPCION,TIPO_COLEGIO,VAR,FECHA_ACTUALIZACION,FACULTAD
2020-1,FI,1,IV,Masculino,General,Privado,Primer curso,09/14/2021 00:00:00,Ingeniería
2020-1,FI,3,IV,Femenino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2020-2,28,1,I,Masculino,Negritudes,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2020-2,37,1,II,Femenino,Fuera De Risaralda,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2020-2,AZ,1,II,Masculino,General,Na,Primer curso,09/14/2021 00:00:00,Ingeniería
2021-1,12,1,I,Masculino,Comunidad Indigena,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2021-1,12,1,I,Masculino,La Virginia,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2021-1,12,1,II,Masculino,Balboa,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2021-1,12,3,I,Femenino,Risaralda,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2021-1,34,1,II,Masculino,Guatica,Oficial,Graduado,09/16/2021 00:00:00,Ingeniería
2021-1,FI,1,IV,Femenino,General,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2021-2,12,1,IV,Femenino,Fuera De Risaralda,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-1,37,1,IV,Masculino,Desplazado,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-1,37,8,IV,Masculino,,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-2,12,1,II,Masculino,,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-2,36,5,V,Masculino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-2,37,1,V,Femenino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-2,37,8,IV,Masculino,,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2011-1,28,1,VI,Masculino,General,Na,Inscrito,09/14/2021 00:00:00,Ingeniería
2011-1,28,11,III,Masculino,General,Privado,Inscrito,09/14/2021 00:00:00,Ingeniería
2011-1,AZ,7,IV,Masculino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2011-2,12,11,I,Masculino,General,Oficial,Cancelado,09/15/2021 00:00:00,Ingeniería
