TipoDeVinculacion,Semestre,NivelDeFormacion,CantidadDeDocentes
Cátedra,2018-2,Especialización,12
Cátedra,2018-2,Maestría,29
Cátedra,2018-2,Profesional,49
Planta,2018-2,Doctorado,16
Planta,2018-2,Especialización,1
Planta,2018-2,Maestría,11
Planta,2018-2,Profesional,3
Transitorio,2018-2,Doctorado,4
Transitorio,2018-2,Especialización,3
Transitorio,2018-2,Maestría,18
Transitorio,2018-2,Profesional,1
Cátedra,2017-1,Doctorado,2
Cátedra,2017-1,Especialización,17
Cátedra,2017-1,Maestría,27
Cátedra,2017-1,Profesional,49
Planta,2017-1,Doctorado,14
Planta,2017-1,Especialización,1
Planta,2017-1,Maestría,13
Planta,2017-1,Profesional,3
Transitorio,2017-1,Doctorado,3
Transitorio,2017-1,Especialización,5
Transitorio,2017-1,Maestría,16
Transitorio,2017-1,Profesional,3
Cátedra,2017-2,Doctorado,1
Cátedra,2017-2,Especialización,15
Cátedra,2017-2,Maestría,29
Cátedra,2017-2,Profesional,50
Planta,2017-2,Doctorado,14
Planta,2017-2,Especialización,1
Planta,2017-2,Maestría,13
Planta,2017-2,Profesional,3
Transitorio,2017-2,Doctorado,3
Transitorio,2017-2,Especialización,5
Transitorio,2017-2,Maestría,15
Transitorio,2017-2,Profesional,3
Cátedra,2016-1,Doctorado,
Cátedra,2016-1,Especialización,22
Cátedra,2016-1,Maestría,23
Cátedra,2016-1,Profesional,44
Planta,2016-1,Doctorado,13
Planta,2016-1,Especialización,1
Planta,2016-1,Maestría,15
Planta,2016-1,Profesional,3
Transitorio,2016-1,Doctorado,1
Transitorio,2016-1,Especialización,6
Transitorio,2016-1,Maestría,13
Transitorio,2016-1,Profesional,3
Cátedra,2016-2,Doctorado,1
Cátedra,2016-2,Especialización,18
Cátedra,2016-2,Maestría,22
Cátedra,2016-2,Profesional,41
Planta,2016-2,Doctorado,15
Planta,2016-2,Especialización,1
Planta,2016-2,Maestría,13
Planta,2016-2,Profesional,3
Transitorio,2016-2,Doctorado,2
Transitorio,2016-2,Especialización,6
Transitorio,2016-2,Maestría,13
Transitorio,2016-2,Profesional,4
Cátedra,2015-1,Especialización,20
Cátedra,2015-1,Maestría,25
Cátedra,2015-1,Profesional,38
Planta,2015-1,Doctorado,12
Planta,2015-1,Especialización,1
Planta,2015-1,Maestría,16
Planta,2015-1,Profesional,3
Transitorio,2015-1,Doctorado,1
Transitorio,2015-1,Especialización,6
Transitorio,2015-1,Maestría,12
Transitorio,2015-1,Profesional,4
Cátedra,2015-2,Especialización,21
Cátedra,2015-2,Maestría,24
Cátedra,2015-2,Profesional,43
Planta,2015-2,Doctorado,13
Planta,2015-2,Especialización,1
Planta,2015-2,Maestría,15
Planta,2015-2,Profesional,3
Transitorio,2015-2,Doctorado,1
Transitorio,2015-2,Especialización,5
Transitorio,2015-2,Maestría,12
Transitorio,2015-2,Profesional,4
Cátedra,2014-1,Especialización,21
Cátedra,2014-1,Maestría,18
Cátedra,2014-1,Profesional,52
Planta,2014-1,Doctorado,7
Planta,2014-1,Especialización,2
