Programa,Oficial,Privado,SinInformacion,Semestre
Ingeniería Eléctrica,847,131,1,2016-2
Ingeniería Física,313,39,,2016-2
Ingeniería de Sistemas y Computación,620,120,,2016-2
Ingeniería de Sistemas y Computación (Nocturno),241,58,,2016-2
Ingeniería Electrónica (Diurna),54,14,,2017-1
Ingeniería Electrónica (Nocturno),154,43,,2017-1
Ingeniería Eléctrica,854,139,1,2017-1
Ingeniería Eléctrica (Básicos ingeniería),22,,,2017-1
Ingeniería Física,333,39,,2017-1
Ingeniería Física (Básicos ingenieria),17,,,2017-1
Ingeniería de Sistemas y Computación,623,133,,2017-1
Ingeniería de Sistemas y Computación (Básicos ingeniería),31,,,2017-1
Ingeniería de Sistemas y Computación (Convenio Cuba),40,6,,2017-1
Ingeniería de Sistemas y Computación (Nocturno),236,54,,2017-1
Ingeniería Electrónica (Diurna),62,15,,2017-2
Ingeniería Electrónica (Nocturno),132,32,,2017-2
Ingeniería Eléctrica,885,132,1,2017-2
Ingeniería Eléctrica (Básicos ingeniería),20,,,2017-2
Ingeniería Física,308,42,,2017-2
Ingeniería Física (Básicos ingenieria),15,,,2017-2
Ingeniería de Sistemas y Computación,617,139,,2017-2
Ingeniería de Sistemas y Computación (Básicos ingeniería),28,,,2017-2
Ingeniería de Sistemas y Computación (Convenio Cuba),35,6,,2017-2
Ingeniería de Sistemas y Computación (Nocturno),230,48,,2017-2
Ingeniería Electrónica (Diurna),98,23,,2018-1
Ingeniería Electrónica (Nocturno),111,29,,2018-1
Ingeniería Eléctrica,866,132,1,2018-1
Ingeniería Eléctrica (Básicos ingeniería),18,,,2018-1
Ingeniería Física,320,40,,2018-1
Ingeniería Física (Básicos ingenieria),14,,,2018-1
Ingeniería de Sistemas y Computación,634,125,,2018-1
Ingeniería de Sistemas y Computación (Básicos ingeniería),24,,,2018-1
Ingeniería de Sistemas y Computación (Convenio Cuba),34,6,,2018-1
Ingeniería de Sistemas y Computación (Nocturno),220,57,,2018-1
Ingeniería Electrónica (Diurna),96,29,,2018-2
Ingeniería Electrónica (Nocturno),97,23,,2018-2
Ingeniería Eléctrica,841,128,1,2018-2
Ingeniería Eléctrica (Básicos ingeniería),18,,,2018-2
Ingeniería Física,303,48,,2018-2
Ingeniería Física (Básicos ingenieria),13,,,2018-2
Ingeniería de Sistemas y Computación,625,128,,2018-2
Ingeniería de Sistemas y Computación (Básicos ingeniería),22,,,2018-2
Ingeniería de Sistemas y Computación (Convenio Cuba),32,5,,2018-2
Ingeniería de Sistemas y Computación (Nocturno),183,48,,2018-2
Ingeniería Electrónica (Diurna),146,32,,2019-1
Ingeniería Electrónica (Nocturno),83,17,,2019-1
Ingeniería Eléctrica,840,121,1,2019-1
Ingeniería Física,300,47,,2019-1
Ingeniería de Sistemas y Computación,610,141,,2019-1
Ingeniería de Sistemas y Computación (Convenio Cuba),32,5,,2019-1
Ingeniería de Sistemas y Computación (Nocturno),231,54,,2019-1
Tecnología en Desarrollo de Software,27,5,,2019-1
Ingeniería Electrónica (Diurna),134,38,,2019-2
Ingeniería Electrónica (Nocturno),74,14,,2019-2
Ingeniería Eléctrica,814,115,1,2019-2
Ingeniería Física,295,53,,2019-2
Ingeniería de Sistemas y Computación,604,138,,2019-2
Ingeniería de Sistemas y Computación (Convenio Cuba),29,5,,2019-2
Ingeniería de Sistemas y Computación (Nocturno),230,50,,2019-2
Tecnología en Desarrollo de Software,20,3,,2019-2
Ingeniería Electrónica (Diurna),179,46,,2020-1
Ingeniería Electrónica (Nocturno),64,11,,2020-1
Ingeniería Eléctrica,828,106,1,2020-1
Ingeniería Física,302,57,,2020-1
Ingeniería de Sistemas y Computación,640,130,,2020-1
Ingeniería de Sistemas y Computación (Convenio Cuba),27,4,,2020-1
Ingeniería de Sistemas y Computación (Nocturno),264,54,,2020-1
Tecnología en Desarrollo de Software,44,6,,2020-1
Ingeniería Electrónica (Diurna),196,50,,2020-2
Ingeniería Electrónica (Nocturno),47,9,,2020-2
Ingeniería Eléctrica,888,110,1,2020-2
Ingeniería Física,313,59,,2020-2
Ingeniería de Sistemas y Computación,668,145,,2020-2
Ingeniería de Sistemas y Computación (Convenio Cuba),27,4,,2020-2
Ingeniería de Sistemas y Computación (Nocturno),289,56,,2020-2
Tecnología en Desarrollo de Software,36,4,,2020-2
Ingeniería Electrónica (Diurna),235,54,,2021-1
Ingeniería Electrónica (Nocturno),40,7,,2021-1
Ingeniería Eléctrica,846,102,1,2021-1
Ingeniería Física,294,53,,2021-1
Ingeniería de Sistemas y Computación,652,147,,2021-1
Ingeniería de Sistemas y Computación (Convenio Cuba),26,4,,2021-1
Ingeniería de Sistemas y Computación (Nocturno),278,55,,2021-1
Tecnología en Desarrollo de Software,26,2,,2021-1
Ingeniería Electrónica (Diurna),243,56,,2021-2
Ingeniería Electrónica (Nocturno),31,4,,2021-2
Ingeniería Eléctrica,855,101,,2021-2
Ingeniería Física,288,53,,2021-2
Ingeniería de Sistemas y Computación,674,153,,2021-2
Ingeniería de Sistemas y Computación (Nocturno),315,67,,2021-2
Tecnología en Desarrollo de Software,59,5,,2021-2
