Programa,Semestre,MenorA17,Edad18,Edad19,MenorA17,Edad20,Edad21,Edad22,Edad23,Edad24,Edad25,MayorA26MenorA31,MayorA31,Total
Ingeniería Física,2017-1,,,,,,,,,,1,9,1,11
Ingeniería de Sistemas y Computación,2017-1,,,,,,,,,,1,13,2,16
Ingeniería de Sistemas y Computación (Nocturno),2017-1,,,,,,,,,,,2,1,3
Ingeniería Electrónica (Nocturno),2017-2,,,,,,,,,,,11,8,19
Ingeniería Eléctrica,2017-2,,,,,,,,,,6,50,20,76
Ingeniería Física,2017-2,,,,,,,,,2,3,19,2,26
Ingeniería de Sistemas y Computación,2017-2,,,,,,,,,2,11,31,10,54
Ingeniería de Sistemas y Computación (Nocturno),2017-2,,,,,,,,,,1,4,8,13
Ingeniería Electrónica (Nocturno),2016-1,,,,,,,,,,,3,8,11
Ingeniería Eléctrica,2016-1,,,,,,,,,,,20,19,39
Ingeniería Física,2016-1,,,,,,,,,,,3,4,7
Ingeniería de Sistemas y Computación,2016-1,,,,,,,,,,,17,3,20
Ingeniería de Sistemas y Computación (Nocturno),2016-1,,,,,,,,,,,2,8,10
Ingeniería Electrónica (Nocturno),2016-2,,,,,,,,,,,6,16,22
Ingeniería Eléctrica,2016-2,,,,,,,,,,,48,27,75
Ingeniería Física,2016-2,,,,,,,,,,1,15,7,23
Ingeniería de Sistemas y Computación,2016-2,,,,,,,,,,3,39,19,61
Ingeniería de Sistemas y Computación (Nocturno),2016-2,,,,,,,,,,,6,6,12
Ingeniería Electrónica (Nocturno),2015-1,,,,,,,,,,,2,7,9
Ingeniería Eléctrica,2015-1,,,,,,,,,,,11,8,19
Ingeniería Física,2015-1,,,,,,,,,,,3,3,6
Ingeniería de Sistemas y Computación,2015-1,,,,,,,,,,,14,9,23
Ingeniería de Sistemas y Computación (Nocturno),2015-1,,,,,,,,,,,2,4,6
Ingeniería Electrónica (Nocturno),2015-2,,,,,,,,,,,15,11,26
Ingeniería Eléctrica,2015-2,,,,,,,,,,,24,34,58
Ingeniería Física,2015-2,,,,,,,,,,,21,9,30
Ingeniería de Sistemas y Computación,2015-2,,,,,,,,,,,53,15,68
