Programa,Semestre,MenorA17,MayorA17MenorA22,Edad22,Edad23,Edad24,Edad25,MayorA26MenorA31,MayorA31,Total
Ingeniería Electrónica (Diurna),2018-2,0,92,11,9,3,1,8,1,125
Ingeniería Electrónica (Nocturno),2018-2,0,6,10,16,17,11,39,21,120
Ingeniería Eléctrica,2018-2,0,196,116,116,101,122,246,73,970
Ingeniería Eléctrica (Básicos ingeniería),2018-2,0,8,7,2,0,1,0,0,18
Ingeniería Física,2018-2,0,164,61,46,29,25,39,17,381
Ingeniería Física (Básicos ingenieria),2018-2,0,11,0,1,1,0,0,0,13
Ingeniería de Sistemas y Computación,2018-2,0,277,102,84,71,75,113,31,753
Ingeniería de Sistemas y Computación (Básicos ingeniería),2018-2,0,6,11,3,2,0,0,0,22
Ingeniería de Sistemas y Computación (Convenio Cuba),2018-2,0,16,10,5,1,3,2,0,37
Ingeniería de Sistemas y Computación (Nocturno),2018-2,0,40,23,14,19,21,69,45,231
Ingeniería Electrónica (Diurna),2019-1,1,144,13,5,3,3,8,1,178
Ingeniería Electrónica (Nocturno),2019-1,0,5,10,13,16,9,29,18,100
Ingeniería Eléctrica,2019-1,0,269,116,122,89,109,198,59,962
Ingeniería Física,2019-1,2,162,59,43,24,13,29,15,347
Ingeniería de Sistemas y Computación,2019-1,1,324,107,81,59,66,87,26,751
Ingeniería de Sistemas y Computación (Convenio Cuba),2019-1,0,18,10,3,1,3,2,0,37
Ingeniería de Sistemas y Computación (Nocturno),2019-1,0,84,26,18,22,23,63,49,285
Tecnología en Desarrollo de Software,2019-1,0,25,2,0,0,1,3,1,32
Ingeniería Electrónica (Diurna),2019-2,2,135,13,4,4,4,9,1,172
Ingeniería Electrónica (Nocturno),2019-2,0,4,9,12,15,7,27,14,88
Ingeniería Eléctrica,2019-2,0,319,113,112,84,92,164,46,930
Ingeniería Física,2019-2,4,185,55,39,16,11,24,14,348
Ingeniería de Sistemas y Computación,2019-2,5,364,102,75,53,54,68,21,742
Ingeniería de Sistemas y Computación (Convenio Cuba),2019-2,0,16,10,2,1,3,2,0,34
Ingeniería de Sistemas y Computación (Nocturno),2019-2,0,59,27,16,17,24,65,45,253
Tecnología en Desarrollo de Software,2019-2,0,17,1,0,0,1,3,1,23
Ingeniería Electrónica (Diurna),2020-1,13,177,11,6,4,5,8,1,225
Ingeniería Electrónica (Nocturno),2020-1,0,5,8,12,10,5,23,12,75
Ingeniería Eléctrica,2020-1,20,352,112,103,79,80,150,39,935
Ingeniería Física,2020-1,20,188,53,37,17,9,20,15,359
Ingeniería de Sistemas y Computación,2020-1,25,421,101,61,44,41,60,17,770
Ingeniería de Sistemas y Computación (Convenio Cuba),2020-1,0,15,10,2,1,2,1,0,31
Ingeniería de Sistemas y Computación (Nocturno),2020-1,14,117,28,16,17,20,67,39,318
Tecnología en Desarrollo de Software,2020-1,6,32,3,0,1,2,4,2,50
Ingeniería Electrónica (Diurna),2020-2,17,192,14,5,3,4,10,1,246
Ingeniería Electrónica (Nocturno),2020-2,0,5,7,10,7,5,15,7,56
Ingeniería Eléctrica,2020-2,29,408,124,102,74,77,143,42,999
Ingeniería Física,2020-2,26,206,49,31,13,10,23,14,372
Ingeniería de Sistemas y Computación,2020-2,44,460,99,53,36,39,59,23,813
Ingeniería de Sistemas y Computación (Convenio Cuba),2020-2,0,15,10,2,1,2,1,0,31
Ingeniería de Sistemas y Computación (Nocturno),2020-2,17,134,30,18,19,18,72,37,345
Tecnología en Desarrollo de Software,2020-2,6,23,1,0,2,2,4,2,40
Ingeniería Electrónica (Diurna),2021-1,59,196,12,5,3,5,8,1,289
Ingeniería Electrónica (Nocturno),2021-1,0,5,9,8,4,4,12,5,47
Ingeniería Eléctrica,2021-1,73,401,110,83,61,58,119,44,949
Ingeniería Física,2021-1,59,192,37,20,12,6,13,8,347
Ingeniería de Sistemas y Computación,2021-1,114,434,81,45,28,30,45,22,799
Ingeniería de Sistemas y Computación (Convenio Cuba),2021-1,0,15,10,1,1,2,1,0,30
Ingeniería de Sistemas y Computación (Nocturno),2021-1,36,133,32,14,12,18,61,27,333
Tecnología en Desarrollo de Software,2021-1,6,16,1,0,2,1,2,0,28
Ingeniería Electrónica (Diurna),2021-2,72,190,15,0,3,5,7,4,296
Ingeniería Electrónica (Nocturno),2021-2,0,5,6,0,1,3,11,5,31
Ingeniería Eléctrica,2021-2,99,423,104,0,55,50,112,45,888
Ingeniería Física,2021-2,70,190,31,0,12,4,13,7,327
Ingeniería de Sistemas y Computación,2021-2,172,442,77,0,25,23,38,16,793
Ingeniería de Sistemas y Computación (Convenio Cuba),2021-2,0,14,10,0,1,2,1,0,28
Ingeniería de Sistemas y Computación (Nocturno),2021-2,54,161,35,0,16,16,57,37,376
Tecnología en Desarrollo de Software,2021-2,24,28,3,0,5,1,4,0,65
