Codigo,Asignatura,Matriculadas,Aprobado,Reprobado,Cancelada,PorcentajeAprobado,PorcentajeReprobado,PorcentajeCancelado,Semestre,ProgramaAcademico
AV9X,HISTORIA DEL ARTE (E),1,1,0,0,1.00,0.00,0.00,2018-2,Ingeniería Eléctrica 
IE313,ALGORITMIA Y PROGRAMACIÓN ,77,58,10,9,0.75,0.13,0.12,2019-1,Ingeniería Eléctrica 
IM423,FUNDAMENTOS DE MECÁNICA,165,71,22,72,0.43,0.13,0.44,2019-1,Ingeniería Eléctrica 
IE023,OPERACIÓN DE SISTEMAS ELÉCTRICOS,80,58,8,14,0.73,0.10,0.18,2019-1,Ingeniería Eléctrica 
CB314,MATEMÁTICAS III,77,46,18,13,0.60,0.23,0.17,2019-1,Ingeniería Eléctrica 
II103,HISTORIA ECONÓMICA DE COLOMBIA,18,6,1,11,0.33,0.06,0.61,2019-1,Ingeniería Eléctrica 
CB434,FÍSICA III,70,39,11,20,0.56,0.16,0.29,2019-1,Ingeniería Eléctrica 
BA013,CURSO DE DEFENSA DE LA PERSONA: ACCIONES CONSTITUCIONALES PARA LA DEFENSA DE LOS DERECHOS HUMANOS,14,8,0,6,0.57,0.00,0.43,2019-1,Ingeniería Eléctrica 
IE823,ELECTRÓNICA DE POTENCIA II (ELECTIVA),4,0,0,4,0.00,0.00,1.00,2019-1,Ingeniería Eléctrica 
BA172,HUMANIDADES I,95,74,15,6,0.78,0.16,0.06,2019-1,Ingeniería Eléctrica 
UV172,HUMANIDADES I,4,1,3,0,0.25,0.75,0.00,2019-1,Ingeniería Eléctrica 
IEFP1,ASIGNATURAS DE FORMACIÓN PROPEDEÚTICA,1,0,0,1,0.00,0.00,1.00,2019-1,Ingeniería Eléctrica 
BA003,EL CUENTO BREVE. OTRAS VÍAS EN LA EXPERIENCIA DE ACERCAMIENTO A LA LECTURA Y ESCRITURA,5,0,0,5,0.00,0.00,1.00,2019-1,Ingeniería Eléctrica 
IE713,TRANSFORMADORES,67,27,23,17,0.40,0.34,0.25,2019-1,Ingeniería Eléctrica 
IE033,LABORATORIO DE SISTEMAS DE POTENCIA,65,58,0,7,0.89,0.00,0.11,2019-1,Ingeniería Eléctrica 
IE863,SEMINARIO DE EGRESO ,43,39,1,3,0.91,0.02,0.07,2019-1,Ingeniería Eléctrica 
II534,CONTABILIDAD INDUSTRIAL,37,15,3,19,0.41,0.08,0.51,2019-1,Ingeniería Eléctrica 
BA002,APRENDIENDO A INVESTIGAR. DE LA PREGUNTA AL ANTEPROYECTO,7,3,0,4,0.43,0.00,0.57,2019-1,Ingeniería Eléctrica 
BA1E12,CALIGRAFÍA (E),44,28,3,13,0.64,0.07,0.30,2019-1,Ingeniería Eléctrica 
CB234,FÍSICA I,73,59,12,2,0.81,0.16,0.03,2019-1,Ingeniería Eléctrica 
CB113,MATEMÁTICAS I ARTICULACION ASIGNATURA DOS,51,27,18,6,0.53,0.35,0.12,2019-1,Ingeniería Eléctrica 
BA001,ANTROPOLOGÍA Y CIUDAD,16,8,1,7,0.50,0.06,0.44,2019-1,Ingeniería Eléctrica 
IE223,ENERGÍA. AMBIENTE Y DESARROLLO,122,85,4,33,0.70,0.03,0.27,2019-1,Ingeniería Eléctrica 
IE963,MANTENIMIENTO ELÉCTRICO,95,55,10,30,0.58,0.11,0.32,2019-1,Ingeniería Eléctrica 
IE074,PROTECCIÓN DE SISTEMAS DE POTENCIA,75,46,19,10,0.61,0.25,0.13,2019-1,Ingeniería Eléctrica 
IE342,LEGISLACIÓN. ÉTICA Y CONTRATACIÓN,51,0,0,51,0.00,0.00,1.00,2019-1,Ingeniería Eléctrica 
IE905,AUTOMATIZACIÓN INDUSTRIAL,82,63,8,11,0.77,0.10,0.13,2019-1,Ingeniería Eléctrica 
IE051,LABORATORIO DE MEDIDAS E INSTRUMENTACIÓN ,50,33,1,16,0.66,0.02,0.32,2019-1,Ingeniería Eléctrica 
