Codigo,Asignatura,Matriculadas,Aprobado,Reprobado,Cancelada,PorcentajeAprobado,PorcentajeReprobado,PorcentajeCancelado,Semestre,ProgramaAcademico
IF352,BIOLOGÍA,45,28,4,13,0.62,0.09,0.29,2020-1,Ingeniería Física
IF1A2,INTRODUCCIÓN A LA INGENIERÍA FÍSICA,46,45,0,1,0.98,0.00,0.02,2020-1,Ingeniería Física
CB242,LABORATORIO DE FÍSICA I,21,19,0,2,0.90,0.00,0.10,2020-1,Ingeniería Física
BA172,HUMANIDADES I,47,39,2,6,0.83,0.04,0.13,2020-1,Ingeniería Física
IF9E3,FÍSICA MÉDICA,32,31,0,1,0.97,0.00,0.03,2020-1,Ingeniería Física
IF033,ADMINISTRACIÓN,29,29,0,0,1.00,0.00,0.00,2020-1,Ingeniería Física
IF643,ELECTRONICA DIGITAL I,29,29,0,0,1.00,0.00,0.00,2020-1,Ingeniería Física
IF713,FISICA MODERNA,28,27,0,1,0.96,0.00,0.04,2020-1,Ingeniería Física
CB434,FÍSICA III,26,22,1,3,0.85,0.04,0.12,2020-1,Ingeniería Física
IF462,LABORATORIO DE ELECTRONICA GENERAL,24,23,0,1,0.96,0.00,0.04,2020-1,Ingeniería Física
CB113,MATEMÁTICAS I ARTICULACION ASIGNATURA DOS,5,2,2,1,0.40,0.40,0.20,2020-1,Ingeniería Física
BA002,APRENDIENDO A INVESTIGAR. DE LA PREGUNTA AL ANTEPROYECTO,1,1,0,0,1.00,0.00,0.00,2020-1,Ingeniería Física
IF9G3,PLAN DE NEGOCIOS DE BASE TECNOLÓGICA,10,9,1,0,0.90,0.10,0.00,2020-1,Ingeniería Física
IF793,FUNDAMENTOS DE VISIÓN POR COMPUTADOR,9,7,1,1,0.78,0.11,0.11,2020-1,Ingeniería Física
IF693,CIENCIA E INGENIERÍA DE MATERIALES,30,29,0,1,0.97,0.00,0.03,2020-1,Ingeniería Física
IF833,PROGRAMACIÓN EN TIEMPO REAL Y PROGRAMACIÓN DIGITAL DE SEÑALES,26,22,0,4,0.85,0.00,0.15,2020-1,Ingeniería Física
IF823,OPTICA,35,35,0,0,1.00,0.00,0.00,2020-1,Ingeniería Física
IF943,FISICA DE TRANSDUCTORES,38,35,0,3,0.92,0.00,0.08,2020-1,Ingeniería Física
BA001,ANTROPOLOGÍA Y CIUDAD,4,1,1,2,0.25,0.25,0.50,2020-1,Ingeniería Física
CB223,ÁLGEBRA LINEAL,47,30,4,13,0.64,0.09,0.28,2020-1,Ingeniería Física
BA004,ARTE Y TECNOLOGÍA,1,1,0,0,1.00,0.00,0.00,2020-1,Ingeniería Física
CB112,MATEMÁTICAS I ARTICULACIÓN PRIMER ASIGNATURA,26,19,7,0,0.73,0.27,0.00,2020-1,Ingeniería Física
BA122,METODOLOGÍA DE LA INVESTIGACIÓN,45,38,2,5,0.84,0.04,0.11,2020-1,Ingeniería Física
IF9D3,TEORÍA DEL PLASMA,12,12,0,0,1.00,0.00,0.00,2020-1,Ingeniería Física
IF523,MECÁNICA DE FLUIDOS,28,20,2,6,0.71,0.07,0.21,2020-1,Ingeniería Física
IF723,ELECTROMAGNETISMO,30,24,4,2,0.80,0.13,0.07,2020-2,Ingeniería Física
IF923,MECANICA ESTADISTICA,28,28,0,0,1.00,0.00,0.00,2020-2,Ingeniería Física
IF9F3,MANTENIMIENTO INDUSTRIAL,22,21,0,1,0.95,0.00,0.05,2020-2,Ingeniería Física
IF9G3,PLAN DE NEGOCIOS DE BASE TECNOLÓGICA,25,25,0,0,1.00,0.00,0.00,2020-2,Ingeniería Física
IF533,ELECTRONICA LINEAL,34,28,4,2,0.82,0.12,0.06,2020-2,Ingeniería Física
CB334,FÍSICA II,34,25,6,3,0.74,0.18,0.09,2020-2,Ingeniería Física
CB342,LABORATORIO DE FÍSICA II,26,18,2,6,0.69,0.08,0.23,2020-2,Ingeniería Física
CB113,MATEMÁTICAS I ARTICULACION ASIGNATURA DOS,7,5,1,1,0.71,0.14,0.14,2020-2,Ingeniería Física
IF883,RELATIVIDAD (E),10,7,1,2,0.70,0.10,0.20,2020-2,Ingeniería Física
BA004,ARTE Y TECNOLOGÍA,3,1,0,2,0.33,0.00,0.67,2020-2,Ingeniería Física
BA002,APRENDIENDO A INVESTIGAR. DE LA PREGUNTA AL ANTEPROYECTO,2,1,0,1,0.50,0.00,0.50,2020-2,Ingeniería Física
CB215,MATEMÁTICAS II,51,30,9,12,0.59,0.18,0.24,2020-2,Ingeniería Física
IF992,CONSTITUCIÓN POLÍTICA,15,12,0,3,0.80,0.00,0.20,2020-2,Ingeniería Física
CB413,MATEMÁTICAS IV,41,29,5,7,0.71,0.12,0.17,2020-2,Ingeniería Física
IF693,CIENCIA E INGENIERÍA DE MATERIALES,26,25,0,1,0.96,0.00,0.04,2020-2,Ingeniería Física
IF021,SEMINARIO DE ETICA,10,10,0,0,1.00,0.00,0.00,2020-2,Ingeniería Física
IF823,OPTICA,32,26,0,6,0.81,0.00,0.19,2020-2,Ingeniería Física
IF352,BIOLOGÍA,67,43,12,12,0.64,0.18,0.18,2020-2,Ingeniería Física
IF633,MECANICA CLASICA,20,17,0,3,0.85,0.00,0.15,2020-2,Ingeniería Física
IF1A2,INTRODUCCIÓN A LA INGENIERÍA FÍSICA,39,29,9,1,0.74,0.23,0.03,2020-2,Ingeniería Física
BA012,CÁTEDRA DE LA PAZ UTP,1,0,0,1,0.00,0.00,1.00,2020-2,Ingeniería Física
TQ133,QUÍMICA GENERAL,46,24,18,4,0.52,0.39,0.09,2020-2,Ingeniería Física
IF973,INGENIERÍA ECONÓMICA,30,27,0,3,0.90,0.00,0.10,2020-2,Ingeniería Física
IF563,PROGRAMACIÓN II,17,15,0,2,0.88,0.00,0.12,2020-2,Ingeniería Física
IF643,ELECTRONICA DIGITAL I,33,24,6,3,0.73,0.18,0.09,2020-2,Ingeniería Física
IF733,ELECTRONICA DIGITAL II (E),19,14,1,4,0.74,0.05,0.21,2020-2,Ingeniería Física
IF662,LABORATORIO DE BIOFÍSICA,19,17,0,2,0.89,0.00,0.11,2020-2,Ingeniería Física
BA013,CURSO DE DEFENSA DE LA PERSONA: ACCIONES CONSTITUCIONALES PARA LA DEFENSA DE LOS DERECHOS HUMANOS,5,3,1,1,0.60,0.20,0.20,2020-2,Ingeniería Física
IF016,TRABAJO DE GRADO,1,0,0,1,0.00,0.00,1.00,2020-2,Ingeniería Física
BUB4,ATLETISMO,1,0,0,1,0.00,0.00,1.00,2020-2,Ingeniería Física
UVO12,FORMULACIÓN Y EVALUACIÓN DE PROYECTOS DE INVERSIÓN (OPCIONAL),1,0,1,0,0.00,1.00,0.00,2020-2,Ingeniería Física
UV372,HUMANIDADES II,3,3,0,0,1.00,0.00,0.00,2020-2,Ingeniería Física
IF542,LABORATORIO DE ELECTRÓNICA LINEAL,17,13,0,4,0.76,0.00,0.24,2020-2,Ingeniería Física
IF033,ADMINISTRACIÓN,34,32,1,1,0.94,0.03,0.03,2020-2,Ingeniería Física
IF833,PROGRAMACIÓN EN TIEMPO REAL Y PROGRAMACIÓN DIGITAL DE SEÑALES,32,25,0,7,0.78,0.00,0.22,2020-2,Ingeniería Física
CB223,ÁLGEBRA LINEAL,57,30,10,17,0.53,0.18,0.30,2020-2,Ingeniería Física
UVMA2,PRODUCCIÓN Y CONSUMO SUSTENTABLE,3,3,0,0,1.00,0.00,0.00,2020-2,Ingeniería Física
IF442,LABORATORIO DE FISICA III,18,15,0,3,0.83,0.00,0.17,2020-2,Ingeniería Física
IF553,TERMODINAMICA,22,20,1,1,0.91,0.05,0.05,2020-2,Ingeniería Física
IF713,FISICA MODERNA,31,31,0,0,1.00,0.00,0.00,2020-2,Ingeniería Física
IF613,ESTADISTICA,31,29,2,0,0.94,0.06,0.00,2020-2,Ingeniería Física
BA122,METODOLOGÍA DE LA INVESTIGACIÓN,47,31,8,8,0.66,0.17,0.17,2020-2,Ingeniería Física
IF793,FUNDAMENTOS DE VISIÓN POR COMPUTADOR,17,16,0,1,0.94,0.00,0.06,2020-2,Ingeniería Física
UVBA1,CONSTITUCIÓN POLÍTICA (SEMIPRESENCIAL),12,11,1,0,0.92,0.08,0.00,2020-2,Ingeniería Física
CB242,LABORATORIO DE FÍSICA I,46,37,4,5,0.80,0.09,0.11,2020-2,Ingeniería Física
IF523,MECÁNICA DE FLUIDOS,23,18,4,1,0.78,0.17,0.04,2020-2,Ingeniería Física
FSE83,CÁTEDRA CAFÉ Y BARISMO ,5,1,0,4,0.20,0.00,0.80,2020-2,Ingeniería Física
IF942,LABORATORIO FÍSICA DE TRANSDUCTORES,31,24,5,2,0.77,0.16,0.06,2020-2,Ingeniería Física
IF853,METROLOGÍA,27,25,0,2,0.93,0.00,0.07,2020-2,Ingeniería Física
IF9E3,FÍSICA MÉDICA,23,22,0,1,0.96,0.00,0.04,2020-2,Ingeniería Física
IF893,CIENCIA DE LOS MATERIALES (E),18,11,0,7,0.61,0.00,0.39,2020-2,Ingeniería Física
IF873,PROCESAMIENTO DE SEÑALES (E),16,15,0,1,0.94,0.00,0.06,2020-2,Ingeniería Física
IF453,ELECTRONICA GENERAL,22,21,0,1,0.95,0.00,0.05,2020-2,Ingeniería Física
BU101,DEPORTES I,4,0,0,4,0.00,0.00,1.00,2020-2,Ingeniería Física
BA003,EL CUENTO BREVE. OTRAS VÍAS EN LA EXPERIENCIA DE ACERCAMIENTO A LA LECTURA Y ESCRITURA,2,1,0,1,0.50,0.00,0.50,2020-2,Ingeniería Física
CD112,CÁTEDRA DE DROGAS EN SOCIEDAD: UN ENFOQUE EDUCATIVO. CULTURAL Y SOCIAL,1,0,0,1,0.00,0.00,1.00,2020-2,Ingeniería Física
FIO12,MATERIA-ENERGÍA-VIDA,2,0,0,2,0.00,0.00,1.00,2020-2,Ingeniería Física
MF943,MECANICA CUANTICA,1,1,0,0,1.00,0.00,0.00,2020-2,Ingeniería Física
BA472,COMUNICACIÓN ORAL Y ESCRITA,44,25,4,15,0.57,0.09,0.34,2020-2,Ingeniería Física
CB314,MATEMÁTICAS III,40,19,10,11,0.48,0.25,0.28,2020-2,Ingeniería Física
CB434,FÍSICA III,31,27,1,3,0.87,0.03,0.10,2020-2,Ingeniería Física
IF914,TRABAJO DE GRADO I,32,28,2,2,0.88,0.06,0.06,2020-2,Ingeniería Física
CB152,DIBUJO I,40,21,10,9,0.53,0.25,0.23,2020-2,Ingeniería Física
IF624,BIOFISICA,19,17,2,0,0.89,0.11,0.00,2020-2,Ingeniería Física
CB115,MATEMÁTICAS I,15,11,4,0,0.73,0.27,0.00,2020-2,Ingeniería Física
AV9X,HISTORIA DEL ARTE (E),2,2,0,0,1.00,0.00,0.00,2020-2,Ingeniería Física
IF863,OPTICA DE LASER (E),7,5,0,2,0.71,0.00,0.29,2020-2,Ingeniería Física
BA001,ANTROPOLOGÍA Y CIUDAD,1,1,0,0,1.00,0.00,0.00,2020-2,Ingeniería Física
CB323,PROGRAMACIÓN DE COMPUTADORES,35,27,4,4,0.77,0.11,0.11,2020-2,Ingeniería Física
IF933,ESTADO SOLIDO,30,25,1,4,0.83,0.03,0.13,2020-2,Ingeniería Física
IF813,MECANICA CUANTICA,23,23,0,0,1.00,0.00,0.00,2020-2,Ingeniería Física
IF653,INSTRUMENTACIÓN BIOMEDICA (E),14,13,1,0,0.93,0.07,0.00,2020-2,Ingeniería Física
BA372,HUMANIDADES II,33,30,2,1,0.91,0.06,0.03,2020-2,Ingeniería Física
IF462,LABORATORIO DE ELECTRONICA GENERAL,19,18,1,0,0.95,0.05,0.00,2020-2,Ingeniería Física
CB234,FÍSICA I,50,43,6,1,0.86,0.12,0.02,2020-2,Ingeniería Física
BA172,HUMANIDADES I,44,30,12,2,0.68,0.27,0.05,2020-2,Ingeniería Física
BA010,ÉTICA DE LA RESISTENCIA,1,0,1,0,0.00,1.00,0.00,2020-2,Ingeniería Física
BUA8,GIMNASIO,2,0,0,2,0.00,0.00,1.00,2020-2,Ingeniería Física
BUA1,VOLEIBOL,1,0,0,1,0.00,0.00,1.00,2020-2,Ingeniería Física
IF652,LABORATORIO DE ELECTRONICA DIGITAL 1,17,14,1,2,0.82,0.06,0.12,2020-2,Ingeniería Física
IF753,TEORÍA DE CONTROL,32,30,1,1,0.94,0.03,0.03,2020-2,Ingeniería Física
IF9B3,FÍSICA FORENSE (E),33,33,0,0,1.00,0.00,0.00,2020-2,Ingeniería Física
CB423,MÉTODOS NUMÉRICOS,34,19,2,13,0.56,0.06,0.38,2020-2,Ingeniería Física
IF513,MÉTODOS MATEMATICOS PARA LA FÍSICA,23,19,3,1,0.83,0.13,0.04,2020-2,Ingeniería Física
CB112,MATEMÁTICAS I ARTICULACIÓN PRIMER ASIGNATURA,33,15,14,4,0.45,0.42,0.12,2020-2,Ingeniería Física
IF943,FISICA DE TRANSDUCTORES,39,33,3,3,0.85,0.08,0.08,2020-2,Ingeniería Física
IF761,LABORATORIO DE FISICA MODERNA,23,21,0,2,0.91,0.00,0.09,2020-2,Ingeniería Física
TC100,GUIÓN CINEMATOGRÁFICO,4,1,0,3,0.25,0.00,0.75,2020-2,Ingeniería Física
BA005,EDUCACIÓN SENTIMENTAL Y EROTISMO,5,2,0,3,0.40,0.00,0.60,2020-2,Ingeniería Física
BUA9,KARATE,1,0,0,1,0.00,0.00,1.00,2020-2,Ingeniería Física
IF021,SEMINARIO DE ETICA,27,27,0,0,1.00,0.00,0.00,2021-1,Ingeniería Física
IF1A2,INTRODUCCIÓN A LA INGENIERÍA FÍSICA,44,37,7,0,0.84,0.16,0.00,2021-1,Ingeniería Física
IF873,PROCESAMIENTO DE SEÑALES (E),13,12,0,1,0.92,0.00,0.08,2021-1,Ingeniería Física
IF643,ELECTRONICA DIGITAL I,30,29,0,1,0.97,0.00,0.03,2021-1,Ingeniería Física
IF553,TERMODINAMICA,29,26,0,3,0.90,0.00,0.10,2021-1,Ingeniería Física
IF973,INGENIERÍA ECONÓMICA,40,35,2,3,0.88,0.05,0.08,2021-1,Ingeniería Física
IF462,LABORATORIO DE ELECTRONICA GENERAL,20,19,1,0,0.95,0.05,0.00,2021-1,Ingeniería Física
CB434,FÍSICA III,20,19,0,1,0.95,0.00,0.05,2021-1,Ingeniería Física
CB215,MATEMÁTICAS II,33,20,4,9,0.61,0.12,0.27,2021-1,Ingeniería Física
IF652,LABORATORIO DE ELECTRONICA DIGITAL 1,23,22,0,1,0.96,0.00,0.04,2021-1,Ingeniería Física
IF352,BIOLOGÍA,35,19,4,12,0.54,0.11,0.34,2021-1,Ingeniería Física
IF9B3,FÍSICA FORENSE (E),16,16,0,0,1.00,0.00,0.00,2021-1,Ingeniería Física
CB323,PROGRAMACIÓN DE COMPUTADORES,29,19,6,4,0.66,0.21,0.14,2021-1,Ingeniería Física
IF533,ELECTRONICA LINEAL,24,22,0,2,0.92,0.00,0.08,2021-1,Ingeniería Física
IF713,FISICA MODERNA,17,17,0,0,1.00,0.00,0.00,2021-1,Ingeniería Física
IF823,OPTICA,31,28,0,3,0.90,0.00,0.10,2021-1,Ingeniería Física
CB314,MATEMÁTICAS III,37,26,6,5,0.70,0.16,0.14,2021-1,Ingeniería Física
BA172,HUMANIDADES I,46,34,10,2,0.74,0.22,0.04,2021-1,Ingeniería Física
IF442,LABORATORIO DE FISICA III,19,18,0,1,0.95,0.00,0.05,2021-1,Ingeniería Física
IF693,CIENCIA E INGENIERÍA DE MATERIALES,18,17,1,0,0.94,0.06,0.00,2021-1,Ingeniería Física
CB4A3,ECUACIONES DIFERENCIALES ORDINARIAS,1,0,0,1,0.00,0.00,1.00,2021-1,Ingeniería Física
IF662,LABORATORIO DE BIOFÍSICA,10,10,0,0,1.00,0.00,0.00,2021-1,Ingeniería Física
IF653,INSTRUMENTACIÓN BIOMEDICA (E),7,7,0,0,1.00,0.00,0.00,2021-1,Ingeniería Física
CB423,MÉTODOS NUMÉRICOS,35,19,2,14,0.54,0.06,0.40,2021-1,Ingeniería Física
CB342,LABORATORIO DE FÍSICA II,30,25,1,4,0.83,0.03,0.13,2021-1,Ingeniería Física
IF992,CONSTITUCIÓN POLÍTICA,14,14,0,0,1.00,0.00,0.00,2021-1,Ingeniería Física
BA007,CRÓNICA. MEMORIA Y CONFLICTO ARMADO,1,0,0,1,0.00,0.00,1.00,2021-1,Ingeniería Física
MF943,MECANICA CUANTICA,6,6,0,0,1.00,0.00,0.00,2021-1,Ingeniería Física
BU101,DEPORTES I,2,0,0,2,0.00,0.00,1.00,2021-1,Ingeniería Física
UVO12,FORMULACIÓN Y EVALUACIÓN DE PROYECTOS DE INVERSIÓN (OPCIONAL),1,0,1,0,0.00,1.00,0.00,2021-1,Ingeniería Física
IF923,MECANICA ESTADISTICA,22,21,1,0,0.95,0.05,0.00,2021-1,Ingeniería Física
IF933,ESTADO SOLIDO,25,25,0,0,1.00,0.00,0.00,2021-1,Ingeniería Física
IF9F3,MANTENIMIENTO INDUSTRIAL,23,23,0,0,1.00,0.00,0.00,2021-1,Ingeniería Física
IF633,MECANICA CLASICA,21,18,2,1,0.86,0.10,0.05,2021-1,Ingeniería Física
IF943,FISICA DE TRANSDUCTORES,18,17,0,1,0.94,0.00,0.06,2021-1,Ingeniería Física
IF523,MECÁNICA DE FLUIDOS,29,25,0,4,0.86,0.00,0.14,2021-1,Ingeniería Física
BA122,METODOLOGÍA DE LA INVESTIGACIÓN,40,32,6,2,0.80,0.15,0.05,2021-1,Ingeniería Física
CB152,DIBUJO I,41,33,7,1,0.80,0.17,0.02,2021-1,Ingeniería Física
BA013,CURSO DE DEFENSA DE LA PERSONA: ACCIONES CONSTITUCIONALES PARA LA DEFENSA DE LOS DERECHOS HUMANOS,1,0,0,1,0.00,0.00,1.00,2021-1,Ingeniería Física
IF942,LABORATORIO FÍSICA DE TRANSDUCTORES,20,17,3,0,0.85,0.15,0.00,2021-1,Ingeniería Física
IF813,MECANICA CUANTICA,19,18,0,1,0.95,0.00,0.05,2021-1,Ingeniería Física
IF624,BIOFISICA,21,21,0,0,1.00,0.00,0.00,2021-1,Ingeniería Física
IF542,LABORATORIO DE ELECTRÓNICA LINEAL,21,18,0,3,0.86,0.00,0.14,2021-1,Ingeniería Física
UVBA1,CONSTITUCIÓN POLÍTICA (SEMIPRESENCIAL),18,18,0,0,1.00,0.00,0.00,2021-1,Ingeniería Física
BA002,APRENDIENDO A INVESTIGAR. DE LA PREGUNTA AL ANTEPROYECTO,1,0,0,1,0.00,0.00,1.00,2021-1,Ingeniería Física
BA005,EDUCACIÓN SENTIMENTAL Y EROTISMO,3,1,1,1,0.33,0.33,0.33,2021-1,Ingeniería Física
IF833,PROGRAMACIÓN EN TIEMPO REAL Y PROGRAMACIÓN DIGITAL DE SEÑALES,35,33,1,1,0.94,0.03,0.03,2021-1,Ingeniería Física
BA472,COMUNICACIÓN ORAL Y ESCRITA,38,27,3,8,0.71,0.08,0.21,2021-1,Ingeniería Física
IF893,CIENCIA DE LOS MATERIALES (E),20,10,1,9,0.50,0.05,0.45,2021-1,Ingeniería Física
IF613,ESTADISTICA,25,23,1,1,0.92,0.04,0.04,2021-1,Ingeniería Física
BA372,HUMANIDADES II,29,24,2,3,0.83,0.07,0.10,2021-1,Ingeniería Física
CB113,MATEMÁTICAS I ARTICULACION ASIGNATURA DOS,11,8,2,1,0.73,0.18,0.09,2021-1,Ingeniería Física
CB112,MATEMÁTICAS I ARTICULACIÓN PRIMER ASIGNATURA,28,12,15,1,0.43,0.54,0.04,2021-1,Ingeniería Física
CB234,FÍSICA I,20,13,5,2,0.65,0.25,0.10,2021-1,Ingeniería Física
UV372,HUMANIDADES II,1,1,0,0,1.00,0.00,0.00,2021-1,Ingeniería Física
IF9E3,FÍSICA MÉDICA,22,22,0,0,1.00,0.00,0.00,2021-1,Ingeniería Física
IF563,PROGRAMACIÓN II,25,22,0,3,0.88,0.00,0.12,2021-1,Ingeniería Física
IF761,LABORATORIO DE FISICA MODERNA,23,21,0,2,0.91,0.00,0.09,2021-1,Ingeniería Física
IF453,ELECTRONICA GENERAL,20,18,0,2,0.90,0.00,0.10,2021-1,Ingeniería Física
IF853,METROLOGÍA,37,36,1,0,0.97,0.03,0.00,2021-1,Ingeniería Física
CB413,MATEMÁTICAS IV,28,23,3,2,0.82,0.11,0.07,2021-1,Ingeniería Física
IF723,ELECTROMAGNETISMO,21,15,3,3,0.71,0.14,0.14,2021-1,Ingeniería Física
CB115,MATEMÁTICAS I,19,17,2,0,0.89,0.11,0.00,2021-1,Ingeniería Física
AV9X,HISTORIA DEL ARTE (E),3,3,0,0,1.00,0.00,0.00,2021-1,Ingeniería Física
BUB1,AJEDREZ,1,0,0,1,0.00,0.00,1.00,2021-1,Ingeniería Física
BUA7,TENIS DE CAMPO,1,0,0,1,0.00,0.00,1.00,2021-1,Ingeniería Física
CD112,CÁTEDRA DE DROGAS EN SOCIEDAD: UN ENFOQUE EDUCATIVO. CULTURAL Y SOCIAL,1,1,0,0,1.00,0.00,0.00,2021-1,Ingeniería Física
IF9C3,FÍSICA COMPUTACIONAL ,14,9,0,5,0.64,0.00,0.36,2021-1,Ingeniería Física
IF793,FUNDAMENTOS DE VISIÓN POR COMPUTADOR,13,13,0,0,1.00,0.00,0.00,2021-1,Ingeniería Física
IF753,TEORÍA DE CONTROL,22,15,3,4,0.68,0.14,0.18,2021-1,Ingeniería Física
IF513,MÉTODOS MATEMATICOS PARA LA FÍSICA,29,27,1,1,0.93,0.03,0.03,2021-1,Ingeniería Física
CB223,ÁLGEBRA LINEAL,32,23,3,6,0.72,0.09,0.19,2021-1,Ingeniería Física
CB334,FÍSICA II,30,25,3,2,0.83,0.10,0.07,2021-1,Ingeniería Física
CB242,LABORATORIO DE FÍSICA I,23,21,1,1,0.91,0.04,0.04,2021-1,Ingeniería Física
FIO12,MATERIA-ENERGÍA-VIDA,1,0,0,1,0.00,0.00,1.00,2021-1,Ingeniería Física
BA003,EL CUENTO BREVE. OTRAS VÍAS EN LA EXPERIENCIA DE ACERCAMIENTO A LA LECTURA Y ESCRITURA,1,0,0,1,0.00,0.00,1.00,2021-1,Ingeniería Física
IF9G3,PLAN DE NEGOCIOS DE BASE TECNOLÓGICA,11,11,0,0,1.00,0.00,0.00,2021-1,Ingeniería Física
IF914,TRABAJO DE GRADO I,20,20,0,0,1.00,0.00,0.00,2021-1,Ingeniería Física
IF033,ADMINISTRACIÓN,26,26,0,0,1.00,0.00,0.00,2021-1,Ingeniería Física
BA001,ANTROPOLOGÍA Y CIUDAD,2,2,0,0,1.00,0.00,0.00,2021-1,Ingeniería Física
TQ133,QUÍMICA GENERAL,48,34,14,0,0.71,0.29,0.00,2021-1,Ingeniería Física
UVNV3,NEGOCIOS VERDES,1,0,1,0,0.00,1.00,0.00,2021-1,Ingeniería Física
BUA5,TAEKWONDO,1,0,0,1,0.00,0.00,1.00,2021-2,Ingeniería Física
IF942,LABORATORIO FÍSICA DE TRANSDUCTORES,1,0,0,1,0.00,0.00,1.00,2021-2,Ingeniería Física
CB223,ÁLGEBRA LINEAL,1,0,0,1,0.00,0.00,1.00,2021-2,Ingeniería Física
IF352,BIOLOGÍA,3,0,0,3,0.00,0.00,1.00,2021-2,Ingeniería Física
IF943,FISICA DE TRANSDUCTORES,2,0,0,2,0.00,0.00,1.00,2021-2,Ingeniería Física
CB115,MATEMÁTICAS I,1,0,0,1,0.00,0.00,1.00,2021-2,Ingeniería Física
IF021,SEMINARIO DE ETICA,1,0,0,1,0.00,0.00,1.00,2021-2,Ingeniería Física
IF9C3,FÍSICA COMPUTACIONAL ,1,0,0,1,0.00,0.00,1.00,2021-2,Ingeniería Física
CB423,MÉTODOS NUMÉRICOS,1,0,0,1,0.00,0.00,1.00,2021-2,Ingeniería Física
BA172,HUMANIDADES I,1,0,0,1,0.00,0.00,1.00,2021-2,Ingeniería Física
BA472,COMUNICACIÓN ORAL Y ESCRITA,2,0,0,2,0.00,0.00,1.00,2021-2,Ingeniería Física
IF933,ESTADO SOLIDO,2,0,0,2,0.00,0.00,1.00,2021-2,Ingeniería Física
CB113,MATEMÁTICAS I ARTICULACION ASIGNATURA DOS,1,0,0,1,0.00,0.00,1.00,2021-2,Ingeniería Física
BA003,EL CUENTO BREVE. OTRAS VÍAS EN LA EXPERIENCIA DE ACERCAMIENTO A LA LECTURA Y ESCRITURA,1,0,0,1,0.00,0.00,1.00,2021-2,Ingeniería Física
IS784,INTELIGENCIA ARTIFICIAL,71,58,5,8,0.82,0.07,0.11,2016-1,Ingeniería de Sistemas y Computación 
IS893,SISTEMAS DISTRIBUIDOS,24,24,0,0,1.00,0.00,0.00,2016-1,Ingeniería de Sistemas y Computación 
IS9B3,INGENIERÍA DEL SOFTWARE III,37,36,0,1,0.97,0.00,0.03,2016-1,Ingeniería de Sistemas y Computación 
CB223,ÁLGEBRA LINEAL,83,41,15,27,0.49,0.18,0.33,2016-1,Ingeniería de Sistemas y Computación 
CB113,MATEMÁTICAS I ARTICULACION ASIGNATURA DOS,33,8,20,5,0.24,0.61,0.15,2016-1,Ingeniería de Sistemas y Computación 
BU101,DEPORTES I,3,0,0,3,0.00,0.00,1.00,2016-1,Ingeniería de Sistemas y Computación 
IS405,GRAMATICAS Y LENGUAJES FORMALES,59,47,7,5,0.80,0.12,0.08,2016-1,Ingeniería de Sistemas y Computación 
IS053,GERENCIA DE PROYECTOS,41,39,0,2,0.95,0.00,0.05,2016-1,Ingeniería de Sistemas y Computación 
CB215,MATEMÁTICAS II,74,44,15,15,0.59,0.20,0.20,2016-1,Ingeniería de Sistemas y Computación 
IS692,ESTADÍSTICA ESPECIAL,54,48,4,2,0.89,0.07,0.04,2016-1,Ingeniería de Sistemas y Computación 
IS773,LABORATORIO DE ELECTRONICA DIGITAL,41,36,3,2,0.88,0.07,0.05,2016-1,Ingeniería de Sistemas y Computación 
CB334,FÍSICA II,55,41,6,8,0.75,0.11,0.15,2016-1,Ingeniería de Sistemas y Computación 
BUA7,TENIS DE CAMPO,1,0,0,1,0.00,0.00,1.00,2016-1,Ingeniería de Sistemas y Computación 
IS105,PROGRAMACIÓN I,145,91,51,3,0.63,0.35,0.02,2016-1,Ingeniería de Sistemas y Computación 
UVMA2,PRODUCCIÓN Y CONSUMO SUSTENTABLE,1,1,0,0,1.00,0.00,0.00,2016-1,Ingeniería de Sistemas y Computación 
IS723,COMUNICACIONES I,56,44,4,8,0.79,0.07,0.14,2016-1,Ingeniería de Sistemas y Computación 
IS503,ADMINISTRACIÓN DE EMPRESAS,65,46,10,9,0.71,0.15,0.14,2016-1,Ingeniería de Sistemas y Computación 
IS623,COMPUTACIÓN GRÁFICA,63,53,1,9,0.84,0.02,0.14,2016-1,Ingeniería de Sistemas y Computación 
CB234,FÍSICA I,87,37,19,31,0.43,0.22,0.36,2016-1,Ingeniería de Sistemas y Computación 
CB314,MATEMÁTICAS III,62,35,12,15,0.56,0.19,0.24,2016-1,Ingeniería de Sistemas y Computación 
CB413,MATEMÁTICAS IV,56,24,10,22,0.43,0.18,0.39,2016-1,Ingeniería de Sistemas y Computación 
IS474,FUNDAMENTOS DE  ELECTRONICA,60,44,13,3,0.73,0.22,0.05,2016-1,Ingeniería de Sistemas y Computación 
BUA6,TENIS DE MESA,1,0,0,1,0.00,0.00,1.00,2016-1,Ingeniería de Sistemas y Computación 
BUA8,GIMNASIO,1,0,0,1,0.00,0.00,1.00,2016-1,Ingeniería de Sistemas y Computación 
IS842,LEGISLACIÓN. ÉTICA Y CONTRATACIÓN,41,37,1,3,0.90,0.02,0.07,2016-1,Ingeniería de Sistemas y Computación 
IS543,LABORATORIO DE ELECTRONICA,56,51,0,5,0.91,0.00,0.09,2016-1,Ingeniería de Sistemas y Computación 
